,listing_id,price,boroughs,host_name,last_review,description,room_type,avg_price,reviewed_month,price_range_labels
0,2595,225.0,Manhattan,Jennifer,2019-05-21,Skylit Midtown Castle,Entire home/apt,6843.75,05,expensive
1,3831,89.0,Brooklyn,LisaRoxanne,2019-07-05,Cozy Entire Floor of Brownstone,Entire home/apt,2707.0833333333335,07,average
2,5099,200.0,Manhattan,Chris,2019-06-22,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,6083.333333333333,06,expensive
3,5178,79.0,Manhattan,Shunichi,2019-06-24,Large Furnished Room Near B'way,Private room,2402.9166666666665,06,average
4,5238,150.0,Manhattan,Ben,2019-06-09,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,4562.5,06,average
5,5295,135.0,Manhattan,Lena,2019-06-22,Beautiful 1br on Upper West Side,Entire home/apt,4106.25,06,average
6,5441,85.0,Manhattan,Kate,2019-06-23,Central Manhattan/near Broadway,Private room,2585.4166666666665,06,average
7,5803,89.0,Brooklyn,Laurie,2019-06-24,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,2707.0833333333335,06,average
8,6021,85.0,Manhattan,Claudio,2019-07-05,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,2585.4166666666665,07,average
9,6848,140.0,Brooklyn,Allen & Irina,2019-06-29,Only 2 stops to Manhattan studio,Entire home/apt,4258.333333333333,06,average
10,7097,215.0,Brooklyn,Jane,2019-06-28,Perfect for Your Parents + Garden,Entire home/apt,6539.583333333333,06,expensive
11,7322,140.0,Manhattan,Doti,2019-07-01,Chelsea Perfect,Private room,4258.333333333333,07,average
12,7726,99.0,Brooklyn,Adam And Charity,2019-06-22,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,3011.25,06,average
13,8024,130.0,Brooklyn,Lisel,2019-07-01,CBG CtyBGd HelpsHaiti rm#1:1-4,Private room,3954.1666666666665,07,average
14,8025,80.0,Brooklyn,Lisel,2019-01-01,CBG Helps Haiti Room#2.5,Private room,2433.3333333333335,01,average
15,8110,110.0,Brooklyn,Lisel,2019-07-02,CBG Helps Haiti Rm #2,Private room,3345.8333333333335,07,average
16,8490,120.0,Brooklyn,Nathalie,2019-06-19,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,3650.0,06,average
17,8505,60.0,Brooklyn,Gregory,2019-06-23,Sunny Bedroom Across Prospect Park,Private room,1825.0,06,budget
